patient_id,tex_state,ZFP36,ZFP36L1,ZFP36L2,ZC3H12A,RC3H1,RC3H2,PCBP1,ELAVL1,HNRNPLL,TIA1,n_cells
P4,CTL_CD8,2.354456663131714,1.9337410926818848,1.247266411781311,0.9086629152297974,1.0233378410339355,0.49146556854248047,1.484366536140442,0.38188663125038147,0.43392127752304077,0.9993323087692261,87
P4,Term-Tex,2.0550341606140137,2.095184803009033,1.3996602296829224,0.38512739539146423,1.2484171390533447,0.5470403432846069,1.2061790227890015,0.3274545967578888,1.4905012845993042,1.0483276844024658,110
P4,Tex-int,2.1812639236450195,1.7509922981262207,1.246475100517273,0.4016534686088562,1.1125543117523193,0.4142145812511444,1.185085415840149,0.21580326557159424,0.47815272212028503,0.576308012008667,62
P4,pre-Tex,2.2383501529693604,1.9651628732681274,1.1975250244140625,1.0333187580108643,1.5575840473175049,0.3258124887943268,1.1968454122543335,0.12815022468566895,0.5045862793922424,0.32613176107406616,52
P7,CTL_CD8,2.0448198318481445,1.72758150100708,1.1983028650283813,0.44994333386421204,0.580848217010498,0.3577785789966583,0.8259350657463074,0.15319108963012695,0.10127806663513184,0.6799105405807495,73
P7,Term-Tex,1.9718092679977417,1.6641632318496704,1.483708381652832,0.3985013961791992,0.8605156540870667,0.3691706657409668,0.9374840259552002,0.06395002454519272,1.3099857568740845,0.6271020174026489,147
P7,Tex-int,2.003004789352417,1.642473816871643,1.4769971370697021,0.5525345206260681,0.7802356481552124,0.39927399158477783,0.8253767490386963,0.11554357409477234,0.7540395855903625,0.5419285297393799,81
P7,pre-Tex,2.170506477355957,1.4632200002670288,1.6463350057601929,0.6337271332740784,0.8612188696861267,0.29108989238739014,0.7084341645240784,0.05748164653778076,0.33925697207450867,0.5742654204368591,67
P8,CTL_CD8,1.2641934156417847,1.5241436958312988,1.4779021739959717,0.16108264029026031,0.809255838394165,0.3508586883544922,0.9906905889511108,0.14826899766921997,0.06372559815645218,0.39422887563705444,62
P8,Term-Tex,1.797680377960205,1.5204845666885376,1.2687382698059082,0.425497442483902,1.3860758543014526,0.24772761762142181,1.0637917518615723,0.22754813730716705,1.259516954421997,0.37344902753829956,23
P8,Tex-int,1.3516916036605835,1.4881432056427002,1.3938164710998535,0.2412322461605072,0.8810340166091919,0.22985121607780457,0.6270651817321777,0.10467831790447235,0.2420155107975006,0.4493855834007263,65
P8,pre-Tex,1.3180421590805054,1.4034435749053955,1.3429113626480103,0.2388903796672821,0.8012588620185852,0.2438579648733139,0.7573893666267395,0.12386750429868698,0.15218397974967957,0.3073178827762604,117
P26,CTL_CD8,1.9751217365264893,2.1300792694091797,1.2594680786132812,0.7467336654663086,0.9897710680961609,0.36146530508995056,0.6845723986625671,0.20329326391220093,0.09368257224559784,0.3707883358001709,102
P26,Term-Tex,2.025167226791382,1.7269004583358765,1.405131459236145,0.8391091823577881,1.0382617712020874,0.3734719157218933,0.5986551642417908,0.23264051973819733,0.8080676794052124,0.7577718496322632,44
P26,Tex-int,2.0845155715942383,1.9676679372787476,1.1850005388259888,0.6324180960655212,0.9699679613113403,0.18711884319782257,0.7504165172576904,0.14384153485298157,0.2386375069618225,0.48767587542533875,69
P26,pre-Tex,1.9160212278366089,1.929746150970459,1.4171345233917236,0.7295238971710205,0.9001555442810059,0.3665122091770172,0.6134722232818604,0.09756305068731308,0.15700997412204742,0.5516583323478699,118
P28,CTL_CD8,2.3013596534729004,1.7620769739151,1.7455227375030518,0.5130142569541931,1.1026052236557007,0.3332142233848572,1.1870273351669312,0.12074583768844604,0.49607735872268677,0.7207407355308533,80
P28,Term-Tex,2.0610203742980957,1.8129466772079468,1.354499340057373,0.8085525631904602,1.0403270721435547,0.5079361200332642,0.9754093289375305,0.23001179099082947,1.0482053756713867,0.6684228777885437,80
P28,Tex-int,2.2414445877075195,1.8689446449279785,1.7384623289108276,0.74491286277771,1.0046721696853638,0.455856055021286,1.0894222259521484,0.2799583971500397,0.7882891297340393,0.6320832371711731,127
P28,pre-Tex,2.3058431148529053,1.9624617099761963,1.750209093093872,0.5357458591461182,1.128991961479187,0.5220398902893066,1.2285637855529785,0.20907825231552124,0.905688464641571,0.5481820702552795,50
