patient_id,tex_state,ZFP36,ZFP36L1,ZFP36L2,ZC3H12A,RC3H1,RC3H2,PCBP1,ELAVL1,HNRNPLL,TIA1,n_cells
P1,CTL_CD8,1.935477614402771,1.88975989818573,1.5691946744918823,0.6072642207145691,0.9024978280067444,0.4642440974712372,1.4178425073623657,0.15167200565338135,0.5326979756355286,0.502251386642456,38
P1,Term-Tex,1.9120240211486816,1.7792569398880005,1.724234938621521,0.5050064921379089,1.2049696445465088,0.5818167328834534,1.446193814277649,0.2741093635559082,1.2443625926971436,1.0030916929244995,133
P1,Tex-int,1.99944269657135,1.8233723640441895,1.4215338230133057,0.5053336024284363,1.2578303813934326,0.5199560523033142,1.6005460023880005,0.32537350058555603,1.1232610940933228,1.02279794216156,94
P1,pre-Tex,2.072014093399048,1.7868949174880981,1.4911675453186035,0.703023374080658,1.3517913818359375,0.5324137806892395,1.29929518699646,0.49037471413612366,0.9038422107696533,0.7052098512649536,77
P2,CTL_CD8,2.3251490592956543,1.9385733604431152,1.81063973903656,0.8164327144622803,0.853344202041626,0.5665080547332764,1.1987732648849487,0.3212948739528656,0.8280393481254578,0.7736896276473999,29
P2,Term-Tex,2.296754837036133,2.354701042175293,1.13792884349823,1.13087797164917,1.088777780532837,0.6143205761909485,1.2664672136306763,0.3019642233848572,1.3434841632843018,1.2274432182312012,100
P2,Tex-int,2.2033841609954834,2.250627040863037,0.9657090902328491,0.7738035321235657,1.0541282892227173,0.5513761043548584,0.9571993350982666,0.2265632450580597,1.2442201375961304,1.1776065826416016,33
P2,pre-Tex,2.230818748474121,1.9401512145996094,1.3338490724563599,0.8748949766159058,1.4004333019256592,0.3098052740097046,1.4889193773269653,0.051251526921987534,0.7616525292396545,0.4805248975753784,27
P3,CTL_CD8,2.321103572845459,1.9260506629943848,1.8966189622879028,1.1083611249923706,1.0660110712051392,0.40116071701049805,0.9293924570083618,0.1858685314655304,0.7311334609985352,0.636833906173706,197
P3,Term-Tex,1.6375365257263184,1.3540977239608765,1.2717732191085815,0.5229589343070984,1.3422895669937134,0.37619462609291077,1.465859055519104,0.3519693911075592,1.6904124021530151,0.8882254958152771,24
P3,Tex-int,1.8264830112457275,1.919310450553894,1.551588773727417,0.42715391516685486,0.8341962695121765,0.6067075133323669,1.4994643926620483,0.18490397930145264,1.4987114667892456,0.749898374080658,33
P3,pre-Tex,2.2444143295288086,1.6909363269805908,1.7273012399673462,0.9025177359580994,0.9110398292541504,0.1267227828502655,1.020719051361084,0.08067287504673004,1.1633381843566895,0.5072696805000305,58
P5,CTL_CD8,2.3332228660583496,1.9342939853668213,2.296905755996704,0.4207364618778229,0.5222758650779724,0.5774014592170715,0.7035596966743469,0.0741267278790474,0.5278845429420471,0.5354589819908142,25
P5,Term-Tex,2.1826090812683105,1.613092303276062,2.150002956390381,0.6579536199569702,1.1313841342926025,0.39532914757728577,0.8289884924888611,0.21052776277065277,1.3682345151901245,0.46592193841934204,156
P5,Tex-int,2.2019553184509277,1.625160813331604,2.1850168704986572,0.7734044790267944,1.1479350328445435,0.3987601101398468,0.9150533676147461,0.2258414775133133,1.4181773662567139,0.629131555557251,125
P5,pre-Tex,2.1366679668426514,1.6067830324172974,2.189120292663574,0.49394941329956055,0.9271708726882935,0.3527933657169342,0.8977801203727722,0.11422153562307358,1.2617616653442383,0.8387610912322998,72
P6,CTL_CD8,2.258859157562256,2.1518914699554443,1.8620461225509644,1.3893482685089111,1.1280958652496338,0.0,2.070005416870117,0.5152519345283508,1.5917723178863525,1.2303547859191895,8
P6,Term-Tex,2.1814920902252197,1.7387148141860962,1.7241617441177368,1.4551677703857422,1.0310397148132324,1.162022590637207,1.732331395149231,0.2419356256723404,1.0543681383132935,1.242527961730957,6
P6,Tex-int,2.1658225059509277,1.8474457263946533,1.7212923765182495,0.7107844948768616,1.024806261062622,0.7810639142990112,1.4586279392242432,0.6840540170669556,1.903904914855957,1.02097487449646,23
P6,pre-Tex,2.0688090324401855,1.7233014106750488,1.6648001670837402,0.6284646987915039,0.8801402449607849,0.5723819732666016,1.6962164640426636,0.45684757828712463,1.6090937852859497,0.8918944001197815,22
P10,CTL_CD8,2.0724434852600098,1.5909761190414429,1.731197714805603,0.3942965567111969,1.2834959030151367,0.31102538108825684,1.115581750869751,0.23964662849903107,0.5429567694664001,0.6479552388191223,40
P10,Term-Tex,2.081045627593994,2.0813682079315186,1.467103123664856,0.471461683511734,1.1014316082000732,0.1718323826789856,1.5285314321517944,0.5183231830596924,0.7800086736679077,0.621650755405426,27
P10,Tex-int,2.0255179405212402,2.0957021713256836,1.405273675918579,0.08007028698921204,1.4096391201019287,0.44312819838523865,1.1232954263687134,0.3265065550804138,0.9985861778259277,1.0942966938018799,20
P10,pre-Tex,2.0360143184661865,2.062479257583618,1.410789132118225,0.8098405003547668,0.7092173099517822,0.25697678327560425,0.9586052894592285,0.2472556084394455,0.8262934684753418,0.7376659512519836,24
P11,CTL_CD8,2.333256721496582,1.5232280492782593,1.5925871133804321,0.5431045293807983,0.8285268545150757,0.36864277720451355,0.7602615356445312,0.06571856886148453,0.5138899087905884,0.19356776773929596,53
P11,Term-Tex,2.2649309635162354,1.6722742319107056,1.1430751085281372,0.4451313614845276,0.8101348280906677,0.35993853211402893,0.8726407289505005,0.3191690444946289,1.3927974700927734,0.1698351800441742,14
P11,Tex-int,2.227895975112915,1.5873947143554688,1.0619375705718994,0.3182580769062042,0.6342789530754089,0.11061962693929672,0.615181565284729,0.1052546501159668,0.9412060976028442,0.21912381052970886,28
P11,pre-Tex,2.0778861045837402,1.45915687084198,1.2380605936050415,0.3628178536891937,0.38159042596817017,0.3964478671550751,0.8645839691162109,0.0436166450381279,0.5418943762779236,0.34084007143974304,56
P12,CTL_CD8,2.034867525100708,1.7126258611679077,1.2603960037231445,0.412129282951355,0.5042665004730225,0.4023035764694214,1.0395174026489258,0.46489930152893066,0.7615665793418884,0.5371212959289551,34
P12,Term-Tex,1.5927749872207642,2.188267707824707,0.6537291407585144,0.36001020669937134,0.8922169804573059,0.3770582973957062,1.2435108423233032,0.19104193150997162,1.206129789352417,0.6595669388771057,89
P12,Tex-int,1.864599347114563,2.2355422973632812,0.8116821646690369,0.2548002302646637,0.9572489261627197,0.39160433411598206,1.200075626373291,0.23492543399333954,1.1354303359985352,0.753379225730896,58
